wealth_tier,education_tier,residence,caste_group,barrier_type,N,suppress_flag,mean_observed_rate,mean_predicted_prob,data_rail_observed,data_rail_predicted
Poor,Higher,Urban,Other Caste,Household Barrier,688,False,0.255814,0.468308,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Urban,Other Caste,Logistical Barrier,688,False,0.212209,0.379774,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Urban,Other Caste,Health Facility Barrier,688,False,0.395349,0.453997,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Urban,Tribe,Household Barrier,204,False,0.289216,0.496356,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Urban,Tribe,Logistical Barrier,204,False,0.289216,0.436277,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Urban,Tribe,Health Facility Barrier,204,False,0.470588,0.508849,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Rural,Don't Know,Household Barrier,435,False,0.501149,0.691848,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Rural,Don't Know,Logistical Barrier,435,False,0.514943,0.665228,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Rural,Don't Know,Health Facility Barrier,435,False,0.547126,0.567628,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Rural,No Caste/Tribe,Household Barrier,4233,False,0.546657,0.75461,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Rural,No Caste/Tribe,Logistical Barrier,4233,False,0.539334,0.709924,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Rural,No Caste/Tribe,Health Facility Barrier,4233,False,0.625325,0.658811,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Rural,Other Caste,Household Barrier,78791,False,0.377391,0.615501,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Rural,Other Caste,Logistical Barrier,78791,False,0.441599,0.628735,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,No Education,Rural,Other Caste,Health Facility Barrier,78791,False,0.548362,0.587119,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
