wealth_tier,education_tier,residence,caste_group,barrier_type,N,demographic_cell,metric_type,value,data_rail
Middle,Primary,Rural,Don't Know,Logistical Barrier,95,Middle | Primary | Rural | Don't Know,Observed Rate (NFHS-5),0.263158,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Rural,Don't Know,Logistical Barrier,95,Middle | Primary | Rural | Don't Know,BarrierLens AI Predicted Probability,0.457637,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,Don't Know,Health Facility Barrier,95,Middle | Primary | Rural | Don't Know,Observed Rate (NFHS-5),0.505263,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Rural,Don't Know,Health Facility Barrier,95,Middle | Primary | Rural | Don't Know,BarrierLens AI Predicted Probability,0.514132,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,No Caste/Tribe,Household Barrier,472,Middle | Primary | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.349576,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Rural,No Caste/Tribe,Household Barrier,472,Middle | Primary | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.551414,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,No Caste/Tribe,Logistical Barrier,472,Middle | Primary | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.334746,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Rural,No Caste/Tribe,Logistical Barrier,472,Middle | Primary | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.536731,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,No Caste/Tribe,Health Facility Barrier,472,Middle | Primary | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.480932,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Rural,No Caste/Tribe,Health Facility Barrier,472,Middle | Primary | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.539424,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,Other Caste,Household Barrier,12359,Middle | Primary | Rural | Other Caste,Observed Rate (NFHS-5),0.255684,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Rural,Other Caste,Household Barrier,12359,Middle | Primary | Rural | Other Caste,BarrierLens AI Predicted Probability,0.480124,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,Other Caste,Logistical Barrier,12359,Middle | Primary | Rural | Other Caste,Observed Rate (NFHS-5),0.337811,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Rural,Other Caste,Logistical Barrier,12359,Middle | Primary | Rural | Other Caste,BarrierLens AI Predicted Probability,0.520135,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,Other Caste,Health Facility Barrier,12359,Middle | Primary | Rural | Other Caste,Observed Rate (NFHS-5),0.470345,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Rural,Other Caste,Health Facility Barrier,12359,Middle | Primary | Rural | Other Caste,BarrierLens AI Predicted Probability,0.507574,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,Tribe,Household Barrier,1637,Middle | Primary | Rural | Tribe,Observed Rate (NFHS-5),0.302993,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Rural,Tribe,Household Barrier,1637,Middle | Primary | Rural | Tribe,BarrierLens AI Predicted Probability,0.526496,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,Tribe,Logistical Barrier,1637,Middle | Primary | Rural | Tribe,Observed Rate (NFHS-5),0.367746,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Rural,Tribe,Logistical Barrier,1637,Middle | Primary | Rural | Tribe,BarrierLens AI Predicted Probability,0.551991,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Rural,Tribe,Health Facility Barrier,1637,Middle | Primary | Rural | Tribe,Observed Rate (NFHS-5),0.450214,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Rural,Tribe,Health Facility Barrier,1637,Middle | Primary | Rural | Tribe,BarrierLens AI Predicted Probability,0.501625,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Don't Know,Household Barrier,37,Middle | Primary | Urban | Don't Know,Observed Rate (NFHS-5),0.27027,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,Don't Know,Household Barrier,37,Middle | Primary | Urban | Don't Know,BarrierLens AI Predicted Probability,0.480606,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Don't Know,Logistical Barrier,37,Middle | Primary | Urban | Don't Know,Observed Rate (NFHS-5),0.27027,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,Don't Know,Logistical Barrier,37,Middle | Primary | Urban | Don't Know,BarrierLens AI Predicted Probability,0.43254,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Don't Know,Health Facility Barrier,37,Middle | Primary | Urban | Don't Know,Observed Rate (NFHS-5),0.459459,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,Don't Know,Health Facility Barrier,37,Middle | Primary | Urban | Don't Know,BarrierLens AI Predicted Probability,0.417477,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,No Caste/Tribe,Household Barrier,210,Middle | Primary | Urban | No Caste/Tribe,Observed Rate (NFHS-5),0.328571,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,No Caste/Tribe,Household Barrier,210,Middle | Primary | Urban | No Caste/Tribe,BarrierLens AI Predicted Probability,0.547283,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,No Caste/Tribe,Logistical Barrier,210,Middle | Primary | Urban | No Caste/Tribe,Observed Rate (NFHS-5),0.257143,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,No Caste/Tribe,Logistical Barrier,210,Middle | Primary | Urban | No Caste/Tribe,BarrierLens AI Predicted Probability,0.404286,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,No Caste/Tribe,Health Facility Barrier,210,Middle | Primary | Urban | No Caste/Tribe,Observed Rate (NFHS-5),0.442857,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,No Caste/Tribe,Health Facility Barrier,210,Middle | Primary | Urban | No Caste/Tribe,BarrierLens AI Predicted Probability,0.519332,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Other Caste,Household Barrier,3229,Middle | Primary | Urban | Other Caste,Observed Rate (NFHS-5),0.27284,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,Other Caste,Household Barrier,3229,Middle | Primary | Urban | Other Caste,BarrierLens AI Predicted Probability,0.497776,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Other Caste,Logistical Barrier,3229,Middle | Primary | Urban | Other Caste,Observed Rate (NFHS-5),0.237535,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,Other Caste,Logistical Barrier,3229,Middle | Primary | Urban | Other Caste,BarrierLens AI Predicted Probability,0.402255,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Other Caste,Health Facility Barrier,3229,Middle | Primary | Urban | Other Caste,Observed Rate (NFHS-5),0.430474,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,Other Caste,Health Facility Barrier,3229,Middle | Primary | Urban | Other Caste,BarrierLens AI Predicted Probability,0.466075,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Tribe,Household Barrier,362,Middle | Primary | Urban | Tribe,Observed Rate (NFHS-5),0.212707,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,Tribe,Household Barrier,362,Middle | Primary | Urban | Tribe,BarrierLens AI Predicted Probability,0.440289,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Tribe,Logistical Barrier,362,Middle | Primary | Urban | Tribe,Observed Rate (NFHS-5),0.18232,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,Tribe,Logistical Barrier,362,Middle | Primary | Urban | Tribe,BarrierLens AI Predicted Probability,0.378387,Rail B — BarrierLens AI Predicted Probability
Middle,Primary,Urban,Tribe,Health Facility Barrier,362,Middle | Primary | Urban | Tribe,Observed Rate (NFHS-5),0.364641,Rail A — Observed Rate (NFHS-5)
Middle,Primary,Urban,Tribe,Health Facility Barrier,362,Middle | Primary | Urban | Tribe,BarrierLens AI Predicted Probability,0.438749,Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Don't Know,Household Barrier,465,Middle | Secondary | Rural | Don't Know,Observed Rate (NFHS-5),0.150538,Rail A — Observed Rate (NFHS-5)
Middle,Secondary,Rural,Don't Know,Household Barrier,465,Middle | Secondary | Rural | Don't Know,BarrierLens AI Predicted Probability,0.325759,Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Don't Know,Logistical Barrier,465,Middle | Secondary | Rural | Don't Know,Observed Rate (NFHS-5),0.24086,Rail A — Observed Rate (NFHS-5)
Middle,Secondary,Rural,Don't Know,Logistical Barrier,465,Middle | Secondary | Rural | Don't Know,BarrierLens AI Predicted Probability,0.404634,Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Don't Know,Health Facility Barrier,465,Middle | Secondary | Rural | Don't Know,Observed Rate (NFHS-5),0.52043,Rail A — Observed Rate (NFHS-5)
Middle,Secondary,Rural,Don't Know,Health Facility Barrier,465,Middle | Secondary | Rural | Don't Know,BarrierLens AI Predicted Probability,0.541074,Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,No Caste/Tribe,Household Barrier,3020,Middle | Secondary | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.287748,Rail A — Observed Rate (NFHS-5)
Middle,Secondary,Rural,No Caste/Tribe,Household Barrier,3020,Middle | Secondary | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.516173,Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,No Caste/Tribe,Logistical Barrier,3020,Middle | Secondary | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.356954,Rail A — Observed Rate (NFHS-5)
Middle,Secondary,Rural,No Caste/Tribe,Logistical Barrier,3020,Middle | Secondary | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.529111,Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,No Caste/Tribe,Health Facility Barrier,3020,Middle | Secondary | Rural | No Caste/Tribe,Observed Rate (NFHS-5),0.495033,Rail A — Observed Rate (NFHS-5)
Middle,Secondary,Rural,No Caste/Tribe,Health Facility Barrier,3020,Middle | Secondary | Rural | No Caste/Tribe,BarrierLens AI Predicted Probability,0.528876,Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Other Caste,Household Barrier,55693,Middle | Secondary | Rural | Other Caste,Observed Rate (NFHS-5),0.243011,Rail A — Observed Rate (NFHS-5)
Middle,Secondary,Rural,Other Caste,Household Barrier,55693,Middle | Secondary | Rural | Other Caste,BarrierLens AI Predicted Probability,0.46039,Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Other Caste,Logistical Barrier,55693,Middle | Secondary | Rural | Other Caste,Observed Rate (NFHS-5),0.311332,Rail A — Observed Rate (NFHS-5)
